Estudo em anos;Renda em 2012;UF;Genero;Idade em 2012
3;1035,7;MG;F;56
4;62,142;PA;M;29
1;1242,84;MG;M;48
8;2071,4;RJ;M;42
12;1657,12;RJ;M;39
12;517,85;TO;F;35
11;2589,25;MG;M;41
16;983,915;RJ;M;64
12;1242,84;PR;M;49
10;816,1316;MG;F;51
12;932,13;AP;F;22
6;2071,4;RJ;M;52
12;816,1316;MG;F;37
1;414,28;MA;M;36
5;1242,84;MG;M;49
10;1242,84;MG;M;25
5;1035,7;PR;M;34
4;408,0658;AP;F;39
2;1864,26;BA;M;48
12;2589,25;SC;M;31
13;4142,8;RO;M;59
1;828,56;SE;M;61
9;1864,26;MT;M;32
1;8285,6;MA;M;53
9;621,42;MG;M;26
9;1553,55;RJ;M;38
12;1139,27;PA;M;35
13;1449,98;RJ;F;50
16;2071,4;RS;F;37
13;4142,8;RS;M;34
12;932,13;BA;F;33
4;724,99;AC;M;30
9;1087,485;MT;F;45
12;816,1316;AL;F;29
12;2071,4;AP;M;43
16;2071,4;PA;M;57
9;673,205;BA;F;36
6;414,28;MS;F;51
16;5696,35;RJ;F;33
9;816,1316;MG;F;32
9;1242,84;TO;F;63
16;1242,84;PE;M;32
1;816,1316;BA;F;47
9;7249,9;RS;M;37
1;932,13;GO;M;46
12;621,42;PA;M;36
9;724,99;RR;M;26
16;2278,54;RJ;M;35
8;896,9162;DF;F;34
4;414,28;PA;M;62
12;2692,82;PA;M;43
12;816,1316;BA;M;43
8;1864,26;RS;M;50
8;310,71;MA;M;49
16;12428,4;SP;M;46
4;816,1316;MG;M;36
9;828,56;CE;M;28
2;1294,625;MS;M;23
13;4142,8;RS;M;64
16;2071,4;RS;M;32
3;1346,41;ES;M;36
15;3107,1;SP;M;30
9;621,42;PE;M;20
12;1553,55;MA;M;36
12;816,1316;MG;F;39
9;3107,1;SC;M;48
12;1398,195;RS;M;27
9;1242,84;AP;F;21
12;5178,5;DF;F;41
11;2278,54;MT;M;46
12;1398,195;PA;M;47
15;2071,4;RJ;M;36
16;1449,98;TO;M;57
12;816,1316;PE;F;32
12;1242,84;CE;M;65
12;3107,1;MA;M;31
12;932,13;RS;F;30
4;517,85;SP;M;56
12;1553,55;PA;M;29
12;2589,25;GO;F;34
7;816,1316;BA;M;37
9;776,775;PA;M;57
10;1657,12;RS;M;52
16;466,065;BA;F;31
12;2071,4;SP;M;38
9;1657,12;PR;M;28
5;621,42;CE;M;30
12;1553,55;AP;M;47
5;816,1316;MG;M;57
12;2589,25;SP;M;58
9;1657,12;SP;M;54
12;1553,55;RS;F;45
12;1760,69;SP;M;35
4;362,495;PA;F;49
5;983,915;RJ;M;56
4;1553,55;PA;M;42
12;1035,7;AC;M;23
16;15535,5;SP;F;48
12;1553,55;SP;M;35
12;1657,12;PE;M;58
12;1398,195;PR;F;27
16;10357;PE;M;46
16;6214,2;PA;M;59
9;1864,26;GO;M;35
11;1035,7;RJ;F;40
12;932,13;ES;F;44
16;3624,95;SP;F;29
7;816,1316;TO;M;47
9;1346,41;GO;M;49
16;1242,84;PR;F;23
12;5696,35;RJ;M;40
9;1553,55;PE;M;30
12;2071,4;PB;M;56
6;1139,27;RS;M;30
16;2174,97;DF;M;33
12;880,345;PA;M;63
16;12428,4;SC;M;50
12;3003,53;ES;M;32
13;942,487;MG;M;24
1;816,1316;PB;M;49
1;816,1316;RN;M;42
12;3107,1;MG;M;60
2;207,14;MG;F;47
12;816,1316;PE;M;28
7;1553,55;GO;M;48
4;1035,7;PE;F;37
3;1449,98;RS;F;50
6;828,56;RS;F;63
12;3624,95;DF;F;50
12;1449,98;RJ;F;53
12;2589,25;SP;M;71
12;983,915;BA;F;32
6;1553,55;RS;M;56
12;816,1316;AP;M;72
12;776,775;PI;F;35
6;816,1316;SP;M;34
16;3107,1;MG;F;40
5;1864,26;DF;F;51
12;932,13;PA;F;38
6;776,775;RO;M;32
7;569,635;AP;F;61
10;816,1316;PE;F;51
11;1657,12;TO;M;23
12;2589,25;MG;M;55
12;816,1316;AP;F;43
12;1698,548;RS;M;29
3;776,775;PA;M;63
4;1035,7;RS;M;64
12;1967,83;RJ;M;37
3;816,1316;PA;F;60
12;816,1316;BA;M;53
5;207,14;CE;M;60
15;1242,84;CE;F;29
4;828,56;SP;M;57
12;517,85;MG;F;29
12;816,1316;RJ;F;27
12;1967,83;GO;M;44
1;165,712;PI;M;57
13;1010,8432;RS;F;51
9;816,1316;RJ;F;52
3;155,355;SE;M;43
5;5178,5;SC;M;64
9;1294,625;PR;M;43
9;2382,11;SP;M;42
9;1553,55;RS;M;44
9;828,56;MT;M;31
2;1864,26;BA;M;39
1;20,714;SE;F;55
13;258,925;MS;F;47
12;816,1316;PI;F;50
16;1553,55;BA;F;74
9;2071,4;MG;M;54
12;724,99;MG;F;39
16;5178,5;PR;M;78
12;2071,4;MG;M;57
1;1035,7;RS;M;35
12;2278,54;RO;F;49
16;20714;DF;M;34
16;1553,55;PR;M;44
5;434,994;BA;M;54
6;828,56;BA;M;30
1;155,355;CE;F;60
2;466,065;RS;M;54
16;5178,5;RJ;F;53
4;816,1316;CE;M;64
5;816,1316;PE;F;42
6;1139,27;PE;M;42
6;724,99;RJ;F;36
1;621,42;MA;M;51
5;434,994;MG;F;56
4;816,1316;AP;M;49
5;1242,84;GO;M;39
9;3107,1;RJ;M;38
5;1035,7;GO;M;57
1;816,1316;AP;M;54
13;2899,96;SP;M;38
12;1070,9138;PA;M;30
9;1035,7;AC;M;39
12;7457,04;SP;M;47
12;310,71;CE;M;31
12;1242,84;RJ;F;36
12;1553,55;BA;M;47
12;1242,84;BA;M;48
12;816,1316;SE;F;54
12;1090,5921;RS;F;40
12;816,1316;RS;M;24
12;3107,1;RS;M;34
6;1294,625;RS;F;50
1;103,57;AL;M;27
1;816,1316;BA;M;40
6;816,1316;RO;M;25
12;3107,1;RS;M;36
12;1346,41;DF;M;30
16;144,998;MA;F;45
16;1346,41;BA;M;34
12;2071,4;RS;M;38
3;4142,8;PR;F;56
14;2589,25;MG;M;47
17;1632,2632;PE;M;55
9;1553,55;MG;M;35
11;1864,26;MT;M;29
10;1553,55;SP;M;31
12;5178,5;RS;M;57
6;414,28;RS;F;53
16;8285,6;SP;M;43
2;828,56;PA;M;39
1;2071,4;PB;M;46
13;816,1316;PB;M;48
3;207,14;PE;F;37
9;816,1316;TO;M;38
1;2278,54;GO;M;41
5;1553,55;MG;M;37
8;2796,39;MG;M;36
10;1553,55;RJ;M;43
12;1035,7;BA;F;52
12;816,1316;RJ;F;28
9;1242,84;PR;M;63
5;880,345;MG;M;42
5;2589,25;MG;M;45
1;20,714;BA;M;66
1;2071,4;GO;M;30
1;414,28;CE;F;55
16;4142,8;MG;M;49
11;466,065;TO;F;42
4;1553,55;PA;M;35
3;414,28;SE;M;51
16;11392,7;PA;M;50
12;2071,4;PA;M;42
12;1242,84;RJ;M;46
16;5799,92;ES;F;57
2;1035,7;PE;M;49
16;816,1316;PA;F;55
7;816,1316;PA;M;68
6;2071,4;RN;M;68
16;2382,11;RO;F;26
16;10357;DF;F;41
12;816,1316;PI;F;30
12;1760,69;PR;M;30
1;1553,55;RJ;M;58
12;1449,98;RJ;F;49
5;621,42;SP;M;28
12;816,1316;BA;F;40
10;414,28;PR;M;47
4;816,1316;ES;M;47
7;2361,396;GO;M;51
12;8803,45;GO;M;49
4;621,42;PI;M;56
3;1346,41;PA;M;44
5;1139,27;SC;M;54
13;2278,54;CE;F;24
9;517,85;RJ;F;55
5;1242,84;RJ;M;35
15;1035,7;RO;F;26
16;10357;PE;M;33
16;13464,1;PR;M;61
16;10357;RJ;M;61
6;621,42;PE;M;22
5;538,564;MG;F;55
8;3107,1;ES;F;37
12;1346,41;RR;F;29
9;2071,4;CE;M;56
9;621,42;ES;F;38
7;517,85;PB;M;27
7;414,28;MG;F;44
9;2589,25;SP;M;40
12;1242,84;AP;M;41
12;816,1316;CE;F;24
15;1242,84;DF;F;35
12;1346,41;MT;F;40
4;828,56;GO;M;53
12;3107,1;SP;F;31
16;1553,55;SP;M;72
11;662,848;GO;F;50
2;1553,55;RS;M;56
12;816,1316;RS;M;35
5;1346,41;MG;F;59
4;517,85;PA;F;51
12;2226,755;MG;M;45
12;1139,27;BA;M;43
12;816,1316;SC;M;27
9;828,56;BA;M;29
5;1449,98;MG;M;52
6;1553,55;MT;M;41
4;1553,55;PE;M;46
16;8285,6;MG;M;44
7;869,988;MG;F;50
6;414,28;PA;M;52
15;932,13;MG;F;31
9;103,57;PE;F;55
6;2485,68;RS;M;49
12;816,1316;MG;F;24
16;1553,55;BA;F;39
12;1449,98;RJ;M;52
16;1242,84;PE;M;41
13;1657,12;RJ;M;38
7;1035,7;MG;M;38
1;3107,1;MS;M;45
10;816,1316;RJ;F;26
9;1242,84;SP;F;47
11;414,28;RR;M;39
12;8285,6;SP;M;58
12;2071,4;CE;M;66
6;1242,84;MA;M;38
12;1242,84;SP;M;38
5;1035,7;RO;M;61
5;1242,84;RN;M;48
15;2226,755;MG;M;31
12;2278,54;RJ;M;36
8;2589,25;MG;M;46
6;816,1316;SP;F;54
16;1139,27;MT;F;33
7;517,85;SP;M;65
16;3624,95;RJ;F;46
12;1449,98;RS;M;50
9;816,1316;RN;M;35
13;1553,55;SP;M;57
16;10357;SP;M;41
5;393,566;AL;M;32
8;4142,8;BA;M;60
1;207,14;CE;M;52
4;816,1316;RS;M;52
16;1553,55;MG;M;41
7;932,13;SE;M;33
8;724,99;AP;M;30
13;2589,25;SP;M;55
12;1760,69;MS;M;37
6;3624,95;MS;M;50
8;3624,95;BA;M;26
3;103,57;BA;M;69
16;4142,8;TO;M;43
4;258,925;SE;M;36
16;3314,24;BA;M;41
12;1139,27;PA;M;34
7;1242,84;GO;M;39
16;3832,09;SP;F;43
12;1242,84;PA;F;72
11;3624,95;PR;M;38
6;828,56;SP;F;32
7;1046,057;SP;M;34
12;3107,1;AP;M;51
13;816,1316;PI;M;44
12;1553,55;RJ;F;50
8;849,274;MS;M;25
1;414,28;PE;M;42
13;3107,1;SC;F;49
16;4971,36;RJ;M;35
8;1553,55;PE;F;40
13;2589,25;PE;M;49
9;1553,55;PR;M;33
12;1553,55;SP;M;52
16;5592,78;SP;M;29
16;10357;DF;M;62
1;517,85;MT;F;50
3;1023,2716;PR;F;48
3;1242,84;AP;M;56
4;517,85;PA;F;36
12;816,1316;AP;F;34
5;880,345;GO;F;40
16;5178,5;SC;F;42
12;2071,4;RS;F;28
12;1553,55;PE;M;24
7;1632,2632;RN;M;51
16;2692,82;RR;F;41
5;517,85;SC;M;73
3;1035,7;MT;M;47
12;2071,4;MG;M;25
8;932,13;SP;F;27
13;310,71;PE;F;34
1;816,1316;MG;F;57
10;858,5953;PA;M;24
12;1864,26;RS;F;53
12;4142,8;PA;M;42
12;15535,5;MS;M;60
3;1035,7;RO;M;55
2;621,42;PI;F;59
1;207,14;PA;F;51
7;816,1316;MS;M;45
12;932,13;PR;M;29
16;4142,8;SC;F;47
9;4142,8;MT;M;39
15;3624,95;PR;M;26
9;1553,55;BA;M;36
12;1294,625;RJ;M;42
16;10357;RS;M;60
4;1553,55;BA;M;56
16;1657,12;RS;M;46
9;816,1316;PE;M;52
11;1953,3302;GO;M;37
14;4142,8;DF;M;42
12;1947,116;SP;M;33
17;1449,98;PR;M;34
3;103,57;PA;F;29
16;2485,68;RJ;M;33
16;3107,1;MT;F;46
5;517,85;PR;F;61
1;51,785;PR;M;69
11;1760,69;CE;M;29
1;816,1316;AL;M;33
9;5696,35;MG;M;49
9;1242,84;SP;M;36
12;1242,84;ES;F;48
12;1967,83;BA;M;48
5;414,28;GO;M;65
5;1242,84;RJ;M;66
12;816,1316;PA;F;37
12;932,13;CE;M;40
5;1139,27;RJ;M;69
16;4660,65;BA;M;48
1;816,1316;RJ;M;36
5;2071,4;ES;M;59
5;1139,27;PE;M;49
7;816,1316;PA;M;29
15;1449,98;MT;M;32
12;517,85;CE;F;60
14;807,846;SP;M;48
8;828,56;ES;M;35
15;5178,5;BA;F;36
12;1242,84;SP;F;34
12;880,345;RJ;M;33
12;952,844;RS;F;51
14;1553,55;SP;M;35
15;414,28;RS;F;27
2;1242,84;TO;M;49
5;816,1316;MG;F;36
7;816,1316;AL;M;36
5;818,203;PI;M;53
12;1501,765;CE;M;46
8;828,56;RS;M;36
12;1657,12;PR;M;43
11;1242,84;RJ;M;47
10;1553,55;SC;M;28
11;310,71;PA;M;48
9;1553,55;GO;M;52
11;816,1316;PI;F;30
12;1553,55;PR;M;34
4;816,1316;PR;M;43
9;724,99;BA;M;34
10;1346,41;RS;M;32
1;2071,4;CE;M;56
12;1242,84;PB;F;39
11;816,1316;PB;F;27
7;1242,84;PA;M;55
12;517,85;RO;M;31
12;816,1316;PE;M;36
6;816,1316;RO;F;41
3;828,56;PA;M;40
14;2071,4;RR;M;25
14;1864,26;RS;M;40
15;4142,8;RS;M;27
8;1449,98;PR;M;59
16;8161,316;BA;M;53
7;1864,26;RJ;M;38
8;2071,4;SP;M;60
10;816,1316;CE;M;26
13;2071,4;RJ;F;38
1;1035,7;GO;M;36
12;1035,7;CE;M;26
16;8803,45;RS;M;57
9;3314,24;MT;M;41
13;3107,1;RJ;F;39
2;818,203;BA;M;33
7;82,856;MG;F;31
4;1294,625;SP;M;57
12;1657,12;SP;M;32
9;1242,84;RJ;M;45
16;14499,8;DF;M;37
5;1760,69;CE;M;68
7;3935,66;PE;M;54
12;517,85;BA;M;31
12;880,345;PE;M;44
12;1864,26;RS;M;51
16;5178,5;AP;M;32
16;3107,1;RJ;M;35
8;3107,1;SP;M;49
1;82,856;PE;M;72
5;310,71;MG;F;50
12;816,1316;GO;F;50
16;16571,2;SP;M;33
6;621,42;BA;F;37
16;12428,4;PR;F;50
16;1828,0105;PE;F;51
12;932,13;MG;M;24
16;1632,2632;RN;M;27
13;3107,1;RJ;M;54
16;4142,8;RS;M;53
12;5178,5;AP;M;43
12;517,85;RJ;F;48
9;816,1316;MG;M;43
15;7457,04;RJ;M;47
8;434,994;PE;M;62
8;1632,2632;SP;F;62
9;1014,986;MG;F;60
16;7767,75;PA;F;51
1;776,775;SP;F;42
4;828,56;MG;M;58
12;1449,98;MS;M;49
9;1188,9836;MG;M;28
13;816,1316;MA;M;54
12;2485,68;BA;M;31
5;816,1316;RN;M;36
10;1242,84;SE;M;37
12;2071,4;TO;F;38
7;1597,0494;RJ;F;62
12;7249,9;SP;M;68
1;248,568;MA;M;59
6;816,1316;BA;F;44
15;2899,96;SP;M;38
12;1242,84;SP;F;39
12;932,13;PE;F;57
5;1864,26;PR;M;81
9;1449,98;PE;M;46
6;816,1316;GO;F;58
1;1449,98;SP;F;52
2;1553,55;RS;M;62
12;816,1316;MA;M;34
16;828,56;PE;F;45
12;1382,6595;RS;M;26
16;3107,1;SC;M;30
12;1242,84;PE;M;30
9;828,56;MA;F;43
8;1553,55;ES;M;45
12;1864,26;MG;M;41
9;1657,12;RS;M;37
14;1242,84;MT;M;47
16;7249,9;MT;F;48
12;2071,4;SC;F;49
16;11392,7;SP;M;64
12;414,28;SP;F;29
11;816,1316;GO;M;29
6;372,852;SE;M;30
12;1553,55;GO;M;32
12;1864,26;SP;M;39
5;310,71;MA;M;40
12;3107,1;PA;M;26
12;1139,27;SP;M;39
4;816,1316;GO;F;50
15;3107,1;PR;F;27
12;186,426;RJ;M;21
12;1553,55;BA;M;41
12;1035,7;RR;M;30
12;2071,4;PR;F;51
7;816,1316;AP;F;36
9;2589,25;SC;M;41
12;828,56;TO;M;28
16;3107,1;MS;F;36
11;828,56;AP;M;48
9;1864,26;RS;M;52
12;414,28;PA;F;27
16;5178,5;PE;F;34
16;2071,4;RJ;M;44
12;6214,2;PR;M;56
12;1242,84;MS;M;28
12;3107,1;PA;M;56
5;2174,97;SP;M;37
12;1242,84;SP;M;23
5;2071,4;PI;M;48
12;1553,55;SP;M;37
10;932,13;RS;F;43
12;5178,5;RS;M;62
14;816,1316;GO;F;57
5;1760,69;SP;M;49
9;816,1316;AP;M;51
9;1449,98;RS;M;34
2;816,1316;BA;F;50
10;414,28;RN;M;38
9;816,1316;PE;M;37
16;14292,66;RS;M;41
12;3107,1;PE;M;50
12;6214,2;SP;M;47
12;621,42;MG;M;29
9;816,1316;PR;F;51
6;414,28;AP;M;42
12;828,56;CE;F;32
10;1139,27;RS;F;30
12;932,13;PR;M;27
16;1242,84;RJ;M;60
9;2382,11;MT;M;39
12;816,1316;CE;M;44
16;3624,95;AP;M;35
12;1035,7;MG;M;33
12;932,13;RS;F;64
9;1657,12;MT;M;24
10;258,925;RR;M;44
12;1449,98;RS;M;34
11;2071,4;MT;M;35
16;2589,25;PA;M;44
12;2485,68;SP;F;46
16;2589,25;PR;M;26
12;1035,7;PB;M;27
3;816,1316;SP;M;54
6;816,1316;AL;F;40
1;828,56;PE;M;41
12;946,6298;RS;F;22
1;621,42;PI;F;36
5;310,71;BA;M;55
10;1553,55;GO;M;34
15;13464,1;SP;M;65
16;1553,55;RJ;F;33
5;621,42;MG;M;48
12;1242,84;CE;M;45
12;3107,1;MT;M;41
7;1553,55;MG;M;35
13;1114,4132;PR;M;57
11;2071,4;SP;F;57
1;1501,765;PA;M;46
16;828,56;MA;F;47
16;4971,36;RJ;M;37
16;1553,55;PA;M;33
9;3107,1;MG;M;36
16;833,7385;RO;F;22
6;1553,55;MG;M;49
10;1967,83;RS;M;34
12;2174,97;PR;F;36
2;1626,049;GO;M;54
12;3314,24;DF;F;50
12;1553,55;BA;M;37
7;93,213;RN;F;52
1;621,42;BA;M;69
12;816,1316;PA;M;48
9;1553,55;SC;M;37
16;8803,45;SP;M;37
6;816,1316;MG;M;38
11;466,065;MT;F;20
6;1657,12;PR;M;35
13;816,1316;SC;M;41
11;1294,625;SP;F;32
10;1449,98;PR;M;33
16;724,99;GO;M;42
12;3624,95;PR;M;43
12;1553,55;DF;M;25
12;3107,1;AP;M;58
1;1139,27;ES;F;32
13;3107,1;RJ;F;30
9;816,1316;SP;F;52
12;6214,2;CE;F;60
6;559,278;SC;F;40
16;2071,4;SP;M;36
2;1035,7;PI;M;22
12;1035,7;PE;M;38
9;2071,4;MT;M;56
4;362,495;BA;M;50
16;18642,6;SP;M;51
12;724,99;CE;M;29
16;3107,1;PE;F;34
12;1242,84;SP;M;22
7;621,42;BA;M;30
9;1553,55;PR;F;46
13;1242,84;RS;M;33
9;1553,55;MG;M;43
3;1035,7;MS;M;59
6;1387,838;SP;M;45
12;1553,55;GO;M;26
17;724,99;SP;M;19
12;1553,55;PR;M;23
11;2071,4;GO;F;40
1;621,42;PA;M;41
4;414,28;BA;M;36
9;816,1316;RJ;M;55
16;5178,5;MG;F;33
16;3107,1;AL;M;53
13;2589,25;SP;F;48
7;724,99;PE;M;29
12;3107,1;SP;M;56
12;816,1316;MA;F;28
16;10149,86;RO;M;38
9;3210,67;PI;M;29
9;1346,41;RJ;M;52
5;816,1316;ES;M;57
5;207,14;CE;F;60
11;828,56;SP;F;40
1;2449,4305;MS;M;40
6;517,85;RS;M;48
4;1035,7;PE;F;26
6;932,13;RO;M;33
5;414,28;PE;F;42
5;1035,7;ES;M;68
12;1035,7;PE;M;33
2;1553,55;SC;F;60
11;1035,7;SP;M;30
12;2071,4;RJ;M;40
16;3107,1;ES;M;44
12;1430,3017;GO;M;29
12;1021,2002;MG;F;29
16;3624,95;BA;F;37
12;6732,05;RJ;M;61
16;6214,2;SP;F;51
12;1916,045;CE;F;28
3;1035,7;SP;F;55
16;20714;MG;M;38
5;724,99;SP;F;51
16;2796,39;SP;F;32
12;2382,11;RS;M;44
12;1242,84;SP;M;26
12;903,1304;PE;F;28
1;1864,26;GO;M;53
16;4142,8;RR;F;51
9;1035,7;BA;M;49
1;1553,55;PA;M;78
3;207,14;PB;M;29
7;1035,7;AP;M;39
9;1449,98;SP;M;37
5;816,1316;PI;M;45
9;816,1316;MG;M;49
1;466,065;BA;M;44
9;816,1316;TO;M;51
12;1636,406;GO;M;51
12;849,274;MG;F;55
12;1242,84;PE;M;39
7;1035,7;RN;M;38
12;880,345;TO;M;29
12;724,99;RR;M;34
5;258,925;RS;M;64
12;816,1316;BA;M;35
12;807,846;MG;M;36
12;2071,4;BA;M;55
12;1864,26;MS;M;38
5;816,1316;MG;F;52
12;2589,25;GO;F;51
12;816,1316;CE;M;50
7;776,775;SP;M;45
12;880,345;MT;F;31
12;3107,1;SP;M;32
12;1035,7;GO;M;33
10;828,56;GO;M;25
16;5799,92;RJ;M;53
12;1632,2632;RS;M;32
12;2589,25;SC;M;67
6;828,56;DF;F;53
6;1553,55;SC;F;60
12;1553,55;PA;M;34
12;816,1316;RN;M;31
8;1449,98;GO;M;38
12;921,773;SP;F;27
4;2876,1389;RS;M;59
12;828,56;GO;F;29
10;2071,4;CE;M;35
5;776,775;MG;M;56
6;2071,4;GO;M;33
12;1077,128;MG;M;40
12;1035,7;MT;M;26
5;807,846;CE;M;42
9;2485,68;PA;M;53
12;466,065;SP;F;34
16;15535,5;RJ;M;56
12;816,1316;PE;M;25
5;1304,982;RS;M;59
6;3107,1;RS;M;56
9;1346,41;PR;M;59
12;1657,12;RJ;F;57
4;590,349;PB;M;32
1;828,56;BA;M;59
17;155,355;BA;M;48
12;1760,69;PR;M;28
12;103,57;SE;M;66
5;517,85;ES;M;39
6;816,1316;PE;M;46
9;1553,55;MG;M;42
7;932,13;PE;F;56
16;5178,5;RJ;F;27
9;2071,4;GO;M;39
7;1553,55;CE;F;41
12;4660,65;MS;M;49
16;8285,6;TO;M;44
12;932,13;PA;M;46
1;207,14;BA;M;53
16;7767,75;SP;M;38
7;1657,12;BA;M;39
4;1242,84;PI;M;63
13;5178,5;RS;M;34
12;1553,55;MT;M;26
12;2589,25;MA;M;39
12;1139,27;RS;F;40
10;310,71;AL;F;46
1;1191,055;BA;M;71
16;1346,41;AP;F;56
12;1449,98;MG;M;40
16;2071,4;RO;M;36
16;4142,8;SP;F;31
5;816,1316;ES;F;48
12;1242,84;AP;F;20
10;828,56;PE;M;32
9;2278,54;GO;M;47
12;2692,82;DF;M;24
15;2071,4;SP;F;34
12;1035,7;RJ;M;64
12;1398,195;ES;M;33
16;816,1316;DF;M;65
6;310,71;PR;M;60
5;207,14;CE;M;39
12;2899,96;TO;M;34
12;1449,98;SP;M;27
12;517,85;AP;F;29
7;952,844;MG;M;34
16;1657,12;GO;M;50
2;1242,84;MG;M;42
16;10357;SP;M;40
9;816,1316;BA;M;39
16;4142,8;RJ;F;56
15;1242,84;PE;M;27
16;4660,65;MG;M;28
2;1139,27;RS;M;50
16;20714;TO;M;49
1;857,5596;CE;M;29
7;1449,98;BA;F;46
12;1242,84;RS;M;50
16;6214,2;RS;M;36
16;4142,8;MG;M;57
1;828,56;BA;M;52
9;1035,7;AC;M;43
12;828,56;MA;M;20
6;517,85;PE;M;49
6;724,99;SP;M;53
7;816,1316;AL;F;33
2;207,14;BA;M;46
17;724,99;RJ;F;32
5;1864,26;CE;M;54
12;828,56;RJ;F;39
12;1553,55;RJ;M;52
7;1553,55;CE;M;39
1;103,57;PA;F;69
5;1864,26;GO;M;56
6;207,14;AL;F;50
12;828,56;RN;M;39
6;1242,84;MS;M;38
12;1346,41;AP;F;31
6;6214,2;RO;M;40
12;1346,41;PA;M;39
12;2589,25;SP;M;45
1;621,42;CE;F;54
5;931,0943;PB;M;50
1;2796,39;SC;M;40
12;4142,8;PR;M;56
9;1553,55;GO;M;31
17;517,85;RO;F;38
16;12428,4;SP;F;60
16;4453,51;SP;F;41
12;1139,27;GO;F;36
16;4142,8;SP;F;35
9;2071,4;PR;M;44
12;932,13;MG;F;36
12;1967,83;SP;M;24
12;1035,7;RS;M;39
1;1398,195;RJ;M;30
9;2071,4;SP;M;41
1;31,071;MA;M;55
7;1346,41;PA;M;48
5;828,56;ES;M;34
16;1672,6555;BA;F;41
6;1553,55;PE;M;49
10;745,704;RS;F;51
13;1242,84;RJ;F;36
12;1242,84;BA;M;50
5;776,775;PA;F;42
12;816,1316;AP;F;56
7;1760,69;MS;M;58
12;3107,1;RJ;F;54
16;1553,55;MA;M;37
13;497,136;SP;F;60
11;1760,69;RJ;M;55
2;880,345;TO;M;64
12;1553,55;RS;F;48
8;932,13;BA;M;44
12;1056,414;SP;F;19
3;517,85;MA;F;50
16;28999,6;DF;M;34
5;1035,7;MT;F;50
1;103,57;CE;M;62
12;517,85;SE;F;45
17;816,1316;RO;F;47
12;1553,55;SC;F;26
12;2278,54;RS;M;43
7;983,915;SP;F;49
8;310,71;PE;F;51
12;1553,55;RN;M;44
14;2589,25;RS;M;37
16;2071,4;SP;F;73
12;2589,25;ES;M;77
10;310,71;AP;F;32
6;103,57;AL;F;34
1;816,1316;GO;M;62
9;1242,84;MG;M;46
15;2589,25;MG;F;44
16;1398,195;GO;M;43
7;816,1316;PB;M;59
6;932,13;MG;M;27
16;2071,4;MT;F;39
12;906,2375;CE;F;41
7;258,925;BA;F;56
5;1553,55;SP;F;62
6;310,71;PE;F;27
1;932,13;RJ;F;45
9;1346,41;MG;M;36
1;911,416;CE;M;38
16;5178,5;RS;M;60
14;2692,82;PR;M;49
12;621,42;RO;F;28
12;932,13;SE;M;33
12;932,13;PA;F;35
7;816,1316;PE;M;40
16;4660,65;BA;M;36
13;3003,53;PR;M;29
15;828,56;PE;F;44
15;5178,5;ES;M;31
16;7249,9;RO;M;57
12;2382,11;MG;M;41
17;932,13;PR;M;27
12;2278,54;RS;M;43
5;258,925;PB;F;53
11;258,925;PA;F;32
9;1242,84;AP;M;60
12;2589,25;PA;M;25
12;3107,1;SP;M;57
5;24,8568;ES;M;60
9;1346,41;SE;M;31
12;4660,65;SP;M;60
13;4142,8;RS;M;56
8;186,426;MG;F;65
6;517,85;RJ;F;65
16;5178,5;MT;M;38
8;828,56;RR;M;54
12;207,14;TO;F;31
12;1967,83;ES;M;30
12;1294,625;MT;F;27
1;362,495;MA;M;41
12;1242,84;SC;F;56
9;1242,84;CE;M;45
12;1864,26;PR;M;54
10;1139,27;BA;M;30
12;1449,98;RJ;M;51
16;2589,25;RJ;F;47
9;2071,4;MG;F;45
13;3107,1;PE;M;42
12;849,274;DF;M;56
1;414,28;BA;M;59
6;807,846;MG;M;61
7;1864,26;MG;M;46
9;1864,26;MS;M;18
8;816,1316;AL;M;34
16;5799,92;SC;M;40
12;1553,55;PE;M;32
6;258,925;RS;F;38
9;816,1316;AP;F;34
12;621,42;BA;F;62
14;4142,8;SP;M;45
5;932,13;PR;F;43
9;2278,54;MG;F;45
4;1242,84;RJ;M;58
6;1553,55;GO;F;33
9;1242,84;PR;M;39
1;155,355;BA;F;43
7;2485,68;AP;M;36
12;3624,95;PE;M;43
8;1242,84;RS;M;35
7;3624,95;MG;M;51
12;816,1316;BA;F;29
16;3107,1;SP;M;44
16;5696,35;SP;M;28
5;776,775;MG;M;55
9;828,56;RS;F;57
4;2071,4;TO;M;56
5;1346,41;PI;M;46
6;1180,698;DF;M;43
16;3107,1;MG;F;38
3;699,0975;BA;M;49
12;2589,25;MG;M;42
8;2589,25;PR;M;43
12;816,1316;PE;M;47
12;1116,4846;SC;M;28
1;310,71;CE;M;71
6;2226,755;MG;M;38
3;414,28;CE;M;46
12;2589,25;RJ;F;43
16;2589,25;PA;F;40
5;921,773;BA;M;56
9;1035,7;RJ;M;49
10;1035,7;PA;M;45
12;1864,26;SP;M;41
5;5178,5;SC;M;51
6;1242,84;RJ;M;36
16;207,14;BA;F;54
3;414,28;SE;M;46
4;1035,7;CE;M;49
11;1449,98;PA;M;44
3;310,71;SP;M;79
5;1553,55;SP;M;51
7;207,14;MA;M;27
1;932,13;AP;M;63
12;1398,195;PA;M;29
12;816,1316;PE;F;54
12;517,85;MT;M;25
